	feature_id	feature_frequency	sample-id	run-number	community	composition
62	7c2d257da03a7d443df0e405c1172c49	0.0	R46-16E18E-2	46	Mixed	16E18S
63	9500b773e54b07b2f96febe7496558fe	0.0	R46-16E18E-2	46	Mixed	16E18S
64	588253f8c914de60cbb9577946854a39	0.0	R46-16E18E-2	46	Mixed	16E18S
65	a14ea0a26ee3443a9bc21c02e6806b07	0.0	R46-16E18E-2	46	Mixed	16E18S
66	e6ff13613bafcb60d9da72eb05425ef3	0.0	R46-16E18E-2	46	Mixed	16E18S
67	c497da3b39f30aceede6bec3b03cd100	0.0	R46-16E18E-2	46	Mixed	16E18S
68	86440f2600e40a23725d58e958687843	0.0	R46-16E18E-2	46	Mixed	16E18S
69	9a0ca8c336d686a9ac9e2bc4d900a91a	0.0	R46-16E18E-2	46	Mixed	16E18S
70	e94c43a6a4852fa204461351fbaaa24a	0.0	R46-16E18E-2	46	Mixed	16E18S
71	e3c9b670c6a67f46e92cd4c65d8e7089	0.0	R46-16E18E-2	46	Mixed	16E18S
72	f584ab1f4a468114a0be8b5e0c76cd6c	0.0	R46-16E18E-2	46	Mixed	16E18S
73	2997f1920aefbb91632b549f2538b73b	0.0	R46-16E18E-2	46	Mixed	16E18S
74	3468430277ce2317dec6f413dcfaa03e	0.0	R46-16E18E-2	46	Mixed	16E18S
75	115a9253c58c6e91cc27653ad997f6b8	0.0	R46-16E18E-2	46	Mixed	16E18S
76	af37e29112a369f18759f2620569cf7c	0.0	R46-16E18E-2	46	Mixed	16E18S
77	2981aa9f69bc423dc502b2e178dc7904	0.0	R46-16E18E-2	46	Mixed	16E18S
78	4ff2b669bf812bb98bcad62815df80a2	0.0	R46-16E18E-2	46	Mixed	16E18S
79	6b9dd64d080d53d989a8407d9806429e	0.0	R46-16E18E-2	46	Mixed	16E18S
80	e6ddd1f6ce622c5526a14bc5cdc0a5fd	0.0	R46-16E18E-2	46	Mixed	16E18S
81	52941d0608e7deac737a1153fc1a5698	0.0	R46-16E18E-2	46	Mixed	16E18S
82	f0db96723c7dc5b773c7941e67641dc9	0.0	R46-16E18E-2	46	Mixed	16E18S
83	aa65c31cfff8e3dc862483cbe580f79a	0.0	R46-16E18E-2	46	Mixed	16E18S
84	c67c8261d0657b329c0ca9eecb2330bc	0.0	R46-16E18E-2	46	Mixed	16E18S
85	2d443dbed88a58dfe012c0c75c9d44e2	0.0	R46-16E18E-2	46	Mixed	16E18S
86	2ef59de04e1254ac6bcb27f6f489fd04	0.0	R46-16E18E-2	46	Mixed	16E18S
87	5bbd45c92ce1cc76b7f1546ed058e6a4	0.0	R46-16E18E-2	46	Mixed	16E18S
88	9a79697ceaeecae6afe506f8ff5ea24a	0.0	R46-16E18E-2	46	Mixed	16E18S
89	6fd13e61da20931377e631a18df9a761	0.0	R46-16E18E-2	46	Mixed	16E18S
90	3b9848bcf6e8ea84a7d5ba080be7fefe	0.0	R46-16E18E-2	46	Mixed	16E18S
91	a8651618911e5bb5d1066e5abca8f322	0.0	R46-16E18E-2	46	Mixed	16E18S
92	b11ce98fb11c5e4d4399b5c07512a88f	0.0	R46-16E18E-2	46	Mixed	16E18S
93	ae73b77f8bde15b64fcd13a24d70f3bd	0.0	R46-16E18E-2	46	Mixed	16E18S
94	0f2551eb7c43e82c8bd59d9e51a5aadf	0.0	R46-16E18E-2	46	Mixed	16E18S
95	61e5d839022c58eba906a33101d2f924	0.0	R46-16E18E-2	46	Mixed	16E18S
96	4e446a437f4b70fae13651fd0593ca2e	0.0	R46-16E18E-2	46	Mixed	16E18S
97	75806b3b6f7236b36a35cd1d98b83f8c	0.0	R46-16E18E-2	46	Mixed	16E18S
98	31f18280654c3b734dc52067fad44df7	0.0	R46-16E18E-2	46	Mixed	16E18S
99	07593ecdf1fba9b480acb31e6af0f89f	0.0	R46-16E18E-2	46	Mixed	16E18S
100	7ad0875409ba5a4ab47602b358817d72	0.0	R46-16E18E-2	46	Mixed	16E18S
101	11254cea51c1389ddabe05661e40c231	0.0	R46-16E18E-2	46	Mixed	16E18S
102	3a8a7409bdc33da14a01ec3e3313b9a7	0.0	R46-16E18E-2	46	Mixed	16E18S
103	11df1c25a490a4a7bf5fc749aecf73ac	0.0	R46-16E18E-2	46	Mixed	16E18S
104	903a981d6895ff6e843870162f395538	0.0	R46-16E18E-2	46	Mixed	16E18S
105	5f65d87ad5d03ee9410c2cde5f4e47f5	0.0	R46-16E18E-2	46	Mixed	16E18S
106	ebde3e9fd49fb3eec9c9005732564dd1	0.0	R46-16E18E-2	46	Mixed	16E18S
107	ab191d4141798145d2260142579623eb	0.0	R46-16E18E-2	46	Mixed	16E18S
108	ed7ee6c55d334d5c837cd56b583ade1b	0.0	R46-16E18E-2	46	Mixed	16E18S
109	863728e1cec6befd5ba02d15baef4c36	2017.0	R46-16E18E-2	46	Mixed	16E18S
110	2970af3e30642198ba1dfa1f304f310b	2497.0	R46-16E18E-2	46	Mixed	16E18S
111	bdf18e8980906003f3978e5ee578c9ea	1552.0	R46-16E18E-2	46	Mixed	16E18S
112	9c0fe787b120b62b93c3cb46d844d9fa	2767.0	R46-16E18E-2	46	Mixed	16E18S
113	20a0d2f150b3312772f5c00e54fd7baf	2869.0	R46-16E18E-2	46	Mixed	16E18S
114	0b7809b1b04598cfc5bbf6264159dde9	2318.0	R46-16E18E-2	46	Mixed	16E18S
115	86cd70d2450e3f44f4a7c543f53008ee	1667.0	R46-16E18E-2	46	Mixed	16E18S
116	32debaa2edfdd6b9fcefff9d65ff740f	1849.0	R46-16E18E-2	46	Mixed	16E18S
117	167b5b3eeed0f9b502f7f1f245d5116c	1777.0	R46-16E18E-2	46	Mixed	16E18S
118	b8b0859fd6afcfc39c1a7e6a50415ca3	1652.0	R46-16E18E-2	46	Mixed	16E18S
119	f4ad315ec51d8bee23cb39f39bc8b019	1116.0	R46-16E18E-2	46	Mixed	16E18S
120	e5bef6d7a65c9a889f20b3b9f3ba62fb	0.0	R46-16E18E-2	46	Mixed	16E18S
121	5ee4a4a718b7ac52a83f8a1ba452499e	0.0	R46-16E18E-2	46	Mixed	16E18S
122	170f9d2be981e6d128907a471f5a8f95	0.0	R46-16E18E-2	46	Mixed	16E18S
123	19ac89abe4366583cea3766bbd48185f	0.0	R46-16E18E-2	46	Mixed	16E18S
124	490546ca305bfb2017e21c44fa56d2f5	0.0	R46-16E18E-2	46	Mixed	16E18S
125	69bfc840c6207d6670e7aa72b240c3fe	0.0	R46-16E18E-2	46	Mixed	16E18S
126	744321cb23193b693d85f7e8e0fd6b90	0.0	R46-16E18E-2	46	Mixed	16E18S
127	863728e1cec6befd5ba02d15baef4c36	0.0	R46-16E18E-2	46	Mixed	16E18S
128	b8b0859fd6afcfc39c1a7e6a50415ca3	0.0	R46-16E18E-2	46	Mixed	16E18S
129	bdf18e8980906003f3978e5ee578c9ea	0.0	R46-16E18E-2	46	Mixed	16E18S
130	b079d9bfa3d84b0bdc2c1398d247150e	0.0	R46-16E18E-2	46	Mixed	16E18S
131	863728e1cec6befd5ba02d15baef4c36	1678.0	R46-16E18E-2	46	Mixed	16E18S
132	2970af3e30642198ba1dfa1f304f310b	1425.0	R46-16E18E-2	46	Mixed	16E18S
133	20a0d2f150b3312772f5c00e54fd7baf	2385.0	R46-16E18E-2	46	Mixed	16E18S
134	86cd70d2450e3f44f4a7c543f53008ee	1250.0	R46-16E18E-2	46	Mixed	16E18S
135	bdf18e8980906003f3978e5ee578c9ea	750.0	R46-16E18E-2	46	Mixed	16E18S
136	9c0fe787b120b62b93c3cb46d844d9fa	1788.0	R46-16E18E-2	46	Mixed	16E18S
137	32debaa2edfdd6b9fcefff9d65ff740f	1722.0	R46-16E18E-2	46	Mixed	16E18S
138	167b5b3eeed0f9b502f7f1f245d5116c	1585.0	R46-16E18E-2	46	Mixed	16E18S
139	f4ad315ec51d8bee23cb39f39bc8b019	991.0	R46-16E18E-2	46	Mixed	16E18S
140	b8b0859fd6afcfc39c1a7e6a50415ca3	1182.0	R46-16E18E-2	46	Mixed	16E18S
